id,Name,Fueltype,Technology,Set,Country,Capacity,lat,lon,DateIn,DateOut
mastr_SEE996417055200,mastr_SEE996417055200,Natural Gas,OCGT,PP,DE,4.003,52.455948,13.420927,2014.0,2025.0
mastr_SEE998778600532,mastr_SEE998778600532,Natural Gas,OCGT,PP,DE,4.41,50.042305,12.032874,2018.0,
mastr_SEE954086855965,mastr_SEE954086855965,Oil,steam turbine,PP,DE,106.0,53.092839,14.231664,1998.0,
mastr_SEE907389779292,mastr_SEE907389779292,Lignite,steam turbine,PP,DE,840.0,51.419203,14.567034,2000.0,
mastr_SEE995943794058,mastr_SEE995943794058,Oil,steam turbine,PP,DE,106.0,53.098691,14.23483,1998.0,
mastr_SEE929808661773,mastr_SEE929808661773,Natural Gas,OCGT,PP,DE,4.472,50.905,12.064,2018.0,
mastr_SEE900559860912,mastr_SEE900559860912,Natural Gas,OCGT,PP,DE,4.41,50.042318,12.032669,2018.0,
mastr_SEE926582462244,mastr_SEE926582462244,Natural Gas,OCGT,PP,DE,4.41,50.042327,12.033044,2018.0,
mastr_SEE982512881400,mastr_SEE982512881400,Natural Gas,OCGT,PP,DE,20.4,48.363869,10.927486,1976.0,
mastr_SEE997738174762,mastr_SEE997738174762,Oil,steam turbine,PP,DE,2.5,48.374757,10.902725,1989.0,
mastr_SEE918373264410,mastr_SEE918373264410,Natural Gas,OCGT,PP,DE,30.7,48.4009,10.93575,2004.0,
mastr_SEE940009163477,mastr_SEE940009163477,Oil,steam turbine,PP,DE,2.5,48.374757,10.902725,1989.0,
mastr_SEE942954514045,mastr_SEE942954514045,Natural Gas,OCGT,PP,DE,3.04,49.898,8.654,2014.0,
mastr_SEE961620762023,mastr_SEE961620762023,Natural Gas,OCGT,PP,DE,10.0,49.898,8.654,1999.0,
mastr_SEE911541382527,mastr_SEE911541382527,Natural Gas,OCGT,PP,DE,2.01,49.769,8.478,2013.0,
mastr_SEE985272571611,mastr_SEE985272571611,Natural Gas,OCGT,PP,DE,2.01,49.769,8.478,2013.0,
mastr_SEE964745752825,mastr_SEE964745752825,Natural Gas,OCGT,PP,DE,35.0,51.39025,6.748049,1974.0,
mastr_SEE927420302913,mastr_SEE927420302913,Natural Gas,OCGT,PP,DE,4.875,52.948,12.397,2010.0,
mastr_SEE907524301289,mastr_SEE907524301289,Oil,steam turbine,PP,DE,10.0,51.525,6.798,1954.0,
mastr_SEE921785427038,mastr_SEE921785427038,Oil,steam turbine,PP,DE,12.0,51.525,6.798,1951.0,
mastr_SEE971740147860,mastr_SEE971740147860,Oil,steam turbine,PP,DE,2.025,51.525,6.798,1949.0,
mastr_SEE956808243722,mastr_SEE956808243722,Natural Gas,OCGT,PP,DE,4.472,50.905,12.064,2018.0,
mastr_SEE984068604342,mastr_SEE984068604342,Natural Gas,OCGT,PP,DE,4.472,50.905,12.064,2018.0,
mastr_SEE948545926433,mastr_SEE948545926433,Natural Gas,OCGT,PP,DE,4.472,50.905,12.064,2018.0,
mastr_SEE957602727647,mastr_SEE957602727647,Natural Gas,OCGT,PP,DE,4.472,50.905,12.064,2018.0,
mastr_SEE949816813650,mastr_SEE949816813650,Natural Gas,OCGT,PP,DE,4.387,50.845636,12.078034,2018.0,
mastr_SEE971156902916,mastr_SEE971156902916,Natural Gas,OCGT,PP,DE,4.387,50.845636,12.078034,2018.0,
mastr_SEE904748267797,mastr_SEE904748267797,Natural Gas,OCGT,PP,DE,4.387,50.845636,12.078034,2018.0,
mastr_SEE968905685947,mastr_SEE968905685947,Natural Gas,OCGT,PP,DE,4.387,50.845636,12.078034,2018.0,
mastr_SEE942845579245,mastr_SEE942845579245,Natural Gas,OCGT,PP,DE,43.412,51.508,7.25,1975.0,
mastr_SEE900638363327,mastr_SEE900638363327,Natural Gas,OCGT,PP,DE,4.701,51.48,7.228,1989.0,
mastr_SEE939679459294,mastr_SEE939679459294,Oil,steam turbine,PP,DE,3.2,47.788183,9.62218,2012.0,
mastr_SEE908154984538,mastr_SEE908154984538,Natural Gas,OCGT,PP,DE,5.167,51.908912,8.411046,1994.0,
mastr_SEE901789931854,mastr_SEE901789931854,Natural Gas,OCGT,PP,DE,97.9,48.114,11.5555,1980.0,
mastr_SEE960916622249,mastr_SEE960916622249,Natural Gas,OCGT,PP,DE,5.167,51.908916,8.411037,1994.0,
mastr_SEE968058469012,mastr_SEE968058469012,Natural Gas,OCGT,PP,DE,5.167,51.908907,8.410816,1994.0,
mastr_SEE901925227438,mastr_SEE901925227438,Natural Gas,OCGT,PP,DE,6.358,51.908876,8.411132,1994.0,
mastr_SEE923487924884,mastr_SEE923487924884,Oil,steam turbine,PP,DE,2.0,53.481,9.979,2018.0,
mastr_SEE945217244789,mastr_SEE945217244789,Natural Gas,OCGT,PP,DE,52.451,48.189,11.596,2021.0,
mastr_SEE917096062495,mastr_SEE917096062495,Natural Gas,OCGT,PP,DE,30.16,52.956,8.225,2014.0,
mastr_SEE935680209873,mastr_SEE935680209873,Oil,steam turbine,PP,DE,9.1,50.051683,8.580048,2005.0,
mastr_SEE949907750550,mastr_SEE949907750550,Oil,steam turbine,PP,DE,8.0,50.040706,8.534299,2005.0,
mastr_SEE915885358156,mastr_SEE915885358156,Natural Gas,OCGT,PP,DE,75.2,51.390069,6.747913,2004.0,
mastr_SEE922855765289,mastr_SEE922855765289,Natural Gas,OCGT,PP,DE,75.2,51.389863,6.747734,2004.0,
mastr_SEE965660903200,mastr_SEE965660903200,Natural Gas,OCGT,PP,DE,11.5,51.0255,13.7845,2022.0,
mastr_SEE939841842152,mastr_SEE939841842152,Natural Gas,OCGT,PP,DE,4.45,53.101,7.37,2021.0,
